nom,algorithme,seuil,moyenne
5000,quickSeuil,14,27528678
5000,quickSeuil,15,27387738
5000,quickSeuil,16,28453035
5000,quickSeuil,17,28162743
5000,quickSeuil,18,28455292
5000,quickSeuil,19,28275844
5000,quickSeuil,20,29014452
5000,quickSeuil,21,28203265
5000,quickSeuil,22,28179899
5000,quickSeuil,23,29782018
5000,quickSeuil,24,29086748
5000,quickSeuil,25,29975281
5000,quickSeuil,26,29306827
5000,quickSeuil,27,28434797
5000,quickSeuil,28,27754759
5000,quickSeuil,29,28677907
5000,quickSeuil,30,28758316
5000,quickSeuil,31,27580954
5000,quickSeuil,32,27827970
5000,quickSeuil,33,28182804
5000,quickSeuil,34,28722610
5000,quickSeuil,35,28051983
5000,quickSeuil,36,28663231
5000,quickSeuil,37,27902268
5000,quickSeuil,38,27999247
5000,quickSeuil,39,28609666
5000,quickSeuil,40,28132441
5000,quickSeuil,41,28082768
5000,quickSeuil,42,28324061
5000,quickSeuil,43,28093080
5000,quickSeuil,44,28321371
5000,quickSeuil,45,27847900
5000,quickSeuil,46,28484887
5000,quickSeuil,47,28855534
5000,quickSeuil,48,28401124
5000,quickSeuil,49,28488094
5000,quickSeuil,50,27736898
5000,quickSeuil,51,28811809
5000,quickSeuil,52,29432055
5000,quickSeuil,53,28677748
5000,quickSeuil,54,28137908
5000,quickSeuil,55,28127468
5000,quickSeuil,56,29250029
5000,quickSeuil,57,28164753
5000,quickSeuil,58,28686627
5000,quickSeuil,59,28699098
5000,quickSeuil,60,28202939
5000,quickSeuil,61,28189322
5000,quickSeuil,62,28360700
5000,quickSeuil,63,28352689
5000,quickSeuil,64,28917710
5000,quickSeuil,65,28059905
5000,quickSeuil,66,28822176
5000,quickSeuil,67,29088680
5000,quickSeuil,68,28818649
5000,quickSeuil,69,28479314
5000,quickSeuil,70,28610688
5000,quickSeuil,71,28397981
5000,quickSeuil,72,28762255
5000,quickSeuil,73,28109952
5000,quickSeuil,74,28417588
5000,quickSeuil,75,29203975
5000,quickSeuil,76,27984677
5000,quickSeuil,77,28959314
5000,quickSeuil,78,29069437
5000,quickSeuil,79,28536981
5000,quickSeuil,80,29297072
5000,quickSeuil,81,29203683
5000,quickSeuil,82,29165923
5000,quickSeuil,83,28843391
5000,quickSeuil,84,29471241
5000,quickSeuil,85,29498973
5000,quickSeuil,86,29727334
5000,quickSeuil,87,29337210
5000,quickSeuil,88,29046320
5000,quickSeuil,89,29210862
5000,quickSeuil,90,28761840
5000,quickSeuil,91,29456548
5000,quickSeuil,92,29372861
5000,quickSeuil,93,30308974
5000,quickSeuil,94,29929848
5000,quickSeuil,95,30146671
5000,quickSeuil,96,30166179
5000,quickSeuil,97,30005824
5000,quickSeuil,98,30287964
5000,quickSeuil,99,30764997
5000,quickSeuil,100,31234320
5000,quickMedSeuil,5,22283535
5000,quickMedSeuil,6,23073671
5000,quickMedSeuil,7,23517680
5000,quickMedSeuil,8,23111092
5000,quickMedSeuil,9,23881436
5000,quickMedSeuil,10,24343229
5000,quickMedSeuil,11,24656513
5000,quickMedSeuil,12,24864024
5000,quickMedSeuil,13,25224783
5000,quickMedSeuil,14,24695353
5000,quickMedSeuil,15,25140448
5000,quickMedSeuil,16,24935419
5000,quickMedSeuil,17,25245539
5000,quickMedSeuil,18,24755042
5000,quickMedSeuil,19,25136581
5000,quickMedSeuil,20,24296206
5000,quickMedSeuil,21,24930631
5000,quickMedSeuil,22,26244516
5000,quickMedSeuil,23,25374202
5000,quickMedSeuil,24,25116370
5000,quickMedSeuil,25,25990609
5000,quickMedSeuil,26,24946344
5000,quickMedSeuil,27,25486767
5000,quickMedSeuil,28,24995192
5000,quickMedSeuil,29,25985235
5000,quickMedSeuil,30,25625145
5000,quickMedSeuil,31,25146739
5000,quickMedSeuil,32,25256867
5000,quickMedSeuil,33,25911056
5000,quickMedSeuil,34,25084446
5000,quickMedSeuil,35,24751690
5000,quickMedSeuil,36,25071587
5000,quickMedSeuil,37,24783751
5000,quickMedSeuil,38,25037309
5000,quickMedSeuil,39,24701711
5000,quickMedSeuil,40,24680982
5000,quickMedSeuil,41,24801616
5000,quickMedSeuil,42,24942960
5000,quickMedSeuil,43,25005962
5000,quickMedSeuil,44,25154709
5000,quickMedSeuil,45,24929365
5000,quickMedSeuil,46,24880710
5000,quickMedSeuil,47,25328887
5000,quickMedSeuil,48,24946672
5000,quickMedSeuil,49,25443288
5000,quickMedSeuil,50,25046965
5000,quickMedSeuil,51,25242844
5000,quickMedSeuil,52,25234760
5000,quickMedSeuil,53,25490485
5000,quickMedSeuil,54,26224112
5000,quickMedSeuil,55,25117179
5000,quickMedSeuil,56,25400443
5000,quickMedSeuil,57,25245251
5000,quickMedSeuil,58,24948729
5000,quickMedSeuil,59,25497131
5000,quickMedSeuil,60,25690475
5000,quickMedSeuil,61,25462566
5000,quickMedSeuil,62,25097156
5000,quickMedSeuil,63,25094878
5000,quickMedSeuil,64,25324720
5000,quickMedSeuil,65,24798971
5000,quickMedSeuil,66,25404386
5000,quickMedSeuil,67,25702939
5000,quickMedSeuil,68,25395967
5000,quickMedSeuil,69,25540827
5000,quickMedSeuil,70,25299085
5000,quickMedSeuil,71,25617183
5000,quickMedSeuil,72,25907915
5000,quickMedSeuil,73,25912331
5000,quickMedSeuil,74,25906614
5000,quickMedSeuil,75,25937810
5000,quickMedSeuil,76,25660468
5000,quickMedSeuil,77,26006967
5000,quickMedSeuil,78,26771606
5000,quickMedSeuil,79,26634541
5000,quickMedSeuil,80,26730440
5000,quickMedSeuil,81,26045414
5000,quickMedSeuil,82,25882130
5000,quickMedSeuil,83,25873681
5000,quickMedSeuil,84,26020191
5000,quickMedSeuil,85,26594605
5000,quickMedSeuil,86,26127597
5000,quickMedSeuil,87,25862962
5000,quickMedSeuil,88,27066957
5000,quickMedSeuil,89,26530899
5000,quickMedSeuil,90,26169554
5000,quickMedSeuil,91,25891305
5000,quickMedSeuil,92,26535916
5000,quickMedSeuil,93,26563022
5000,quickMedSeuil,94,26527383
5000,quickMedSeuil,95,26859087
5000,quickMedSeuil,96,26525175
5000,quickMedSeuil,97,27536886
5000,quickMedSeuil,98,26813327
5000,quickMedSeuil,99,26921698
5000,quickMedSeuil,100,27644524
10000,quickSeuil,5,106536301
10000,quickSeuil,6,101906678
10000,quickSeuil,7,104565976
10000,quickSeuil,8,105614747
10000,quickSeuil,9,106979984
10000,quickSeuil,10,104628345
10000,quickSeuil,11,105135448
10000,quickSeuil,12,110501310
10000,quickSeuil,13,108073086
10000,quickSeuil,14,112841068
10000,quickSeuil,15,108303369
10000,quickSeuil,16,115108647
10000,quickSeuil,17,111127603
10000,quickSeuil,18,115111708
10000,quickSeuil,19,106854673
10000,quickSeuil,20,111585913
10000,quickSeuil,21,113905771
10000,quickSeuil,22,109626752
10000,quickSeuil,23,112839467
10000,quickSeuil,24,116877618
10000,quickSeuil,25,113874909
10000,quickSeuil,26,108978777
10000,quickSeuil,27,109973313
10000,quickSeuil,28,110106043
10000,quickSeuil,29,111101069
10000,quickSeuil,30,112672636
10000,quickSeuil,31,115959635
10000,quickSeuil,32,112132684
10000,quickSeuil,33,113406028
10000,quickSeuil,34,117011482
10000,quickSeuil,35,110241000
10000,quickSeuil,36,107787181
10000,quickSeuil,37,110800186
10000,quickSeuil,38,115962957
10000,quickSeuil,39,107546744
10000,quickSeuil,40,120128920
10000,quickSeuil,41,114782882
10000,quickSeuil,42,107901873
10000,quickSeuil,43,117727882
10000,quickSeuil,44,117419916
10000,quickSeuil,45,113951573
10000,quickSeuil,46,117705208
10000,quickSeuil,47,113256818
10000,quickSeuil,48,112400891
10000,quickSeuil,49,114580709
10000,quickSeuil,50,115296148
10000,quickSeuil,51,112251184
10000,quickSeuil,52,114921837
10000,quickSeuil,53,118792104
10000,quickSeuil,54,116723908
10000,quickSeuil,55,111778099
10000,quickSeuil,56,116874011
10000,quickSeuil,57,112663906
10000,quickSeuil,58,119598350
10000,quickSeuil,59,122353047
10000,quickSeuil,60,115419594
10000,quickSeuil,61,123478189
10000,quickSeuil,62,119915243
10000,quickSeuil,63,116152771
10000,quickSeuil,64,113048807
10000,quickSeuil,65,114873569
10000,quickSeuil,66,122565839
10000,quickSeuil,67,118562164
10000,quickSeuil,68,118792772
10000,quickSeuil,69,114348624
10000,quickSeuil,70,117792227
10000,quickSeuil,71,113826968
10000,quickSeuil,72,123010700
10000,quickSeuil,73,122968094
10000,quickSeuil,74,119864729
10000,quickSeuil,75,116643817
10000,quickSeuil,76,113989946
10000,quickSeuil,77,113449819
10000,quickSeuil,78,117832205
10000,quickSeuil,79,111937052
10000,quickSeuil,80,115015208
10000,quickSeuil,81,121342258
10000,quickSeuil,82,120089161
10000,quickSeuil,83,119373838
10000,quickSeuil,84,122300561
10000,quickSeuil,85,120317967
10000,quickSeuil,86,117397035
10000,quickSeuil,87,117100192
10000,quickSeuil,88,114438203
10000,quickSeuil,89,120869766
10000,quickSeuil,90,125139119
10000,quickSeuil,91,115848125
10000,quickSeuil,92,118397897
10000,quickSeuil,93,122168771
10000,quickSeuil,94,121891272
10000,quickSeuil,95,120668559
10000,quickSeuil,96,120289665
10000,quickSeuil,97,124249281
10000,quickSeuil,98,119346300
10000,quickSeuil,99,116257159
10000,quickSeuil,100,119520186
10000,quickMedSeuil,5,109876370
10000,quickMedSeuil,6,111041504
10000,quickMedSeuil,7,113214643
10000,quickMedSeuil,8,111970650
10000,quickMedSeuil,9,115662706
10000,quickMedSeuil,10,113442428
10000,quickMedSeuil,11,115379313
10000,quickMedSeuil,12,116959625
10000,quickMedSeuil,13,115490891
10000,quickMedSeuil,14,119158141
10000,quickMedSeuil,15,118210048
10000,quickMedSeuil,16,116329264
10000,quickMedSeuil,17,112914437
10000,quickMedSeuil,18,118387556
10000,quickMedSeuil,19,114811947
10000,quickMedSeuil,20,117324841
10000,quickMedSeuil,21,116275172
10000,quickMedSeuil,22,116551385
10000,quickMedSeuil,23,115025316
10000,quickMedSeuil,24,118047154
10000,quickMedSeuil,25,110903961
10000,quickMedSeuil,26,118742935
10000,quickMedSeuil,27,117857112
10000,quickMedSeuil,28,113842387
10000,quickMedSeuil,29,112555030
10000,quickMedSeuil,30,115575831
10000,quickMedSeuil,31,116331121
10000,quickMedSeuil,32,122922786
10000,quickMedSeuil,33,119506393
10000,quickMedSeuil,34,119383699
10000,quickMedSeuil,35,111846700
10000,quickMedSeuil,36,111467634
10000,quickMedSeuil,37,130856256
10000,quickMedSeuil,38,112397473
10000,quickMedSeuil,39,113401447
10000,quickMedSeuil,40,116105057
10000,quickMedSeuil,41,117769058
10000,quickMedSeuil,42,125299199
10000,quickMedSeuil,43,121625984
10000,quickMedSeuil,44,126865947
10000,quickMedSeuil,45,121853849
10000,quickMedSeuil,46,127934879
10000,quickMedSeuil,47,113924237
10000,quickMedSeuil,48,112935351
10000,quickMedSeuil,49,124489859
10000,quickMedSeuil,50,113669198
10000,quickMedSeuil,51,113063207
10000,quickMedSeuil,52,114159157
10000,quickMedSeuil,53,116268494
10000,quickMedSeuil,54,112266583
10000,quickMedSeuil,55,115248150
10000,quickMedSeuil,56,115219813
10000,quickMedSeuil,57,120320521
10000,quickMedSeuil,58,126410466
10000,quickMedSeuil,59,114473473
10000,quickMedSeuil,60,108503666
10000,quickMedSeuil,61,119275057
10000,quickMedSeuil,62,114147578
10000,quickMedSeuil,63,115036423
10000,quickMedSeuil,64,116165820
10000,quickMedSeuil,65,112403275
10000,quickMedSeuil,66,108167010
10000,quickMedSeuil,67,119336162
10000,quickMedSeuil,68,109012351
10000,quickMedSeuil,69,114293708
10000,quickMedSeuil,70,109780992
10000,quickMedSeuil,71,112352485
10000,quickMedSeuil,72,113335022
10000,quickMedSeuil,73,111267289
10000,quickMedSeuil,74,117105590
10000,quickMedSeuil,75,110333405
10000,quickMedSeuil,76,115852895
10000,quickMedSeuil,77,119322164
10000,quickMedSeuil,78,109334376
10000,quickMedSeuil,79,115707628
10000,quickMedSeuil,80,121253014
10000,quickMedSeuil,81,120567752
10000,quickMedSeuil,82,122559202
10000,quickMedSeuil,83,122611862
10000,quickMedSeuil,84,113283674
10000,quickMedSeuil,85,118238776
10000,quickMedSeuil,86,114602580
10000,quickMedSeuil,87,116864660
10000,quickMedSeuil,88,113743956
10000,quickMedSeuil,89,118055469
10000,quickMedSeuil,90,117954780
10000,quickMedSeuil,91,122729311
10000,quickMedSeuil,92,113105975
10000,quickMedSeuil,93,120933690
10000,quickMedSeuil,94,115454681
10000,quickMedSeuil,95,122473941
10000,quickMedSeuil,96,119478953
10000,quickMedSeuil,97,117034240
10000,quickMedSeuil,98,117839888
10000,quickMedSeuil,99,120426316
10000,quickMedSeuil,100,125601715
50000,quickSeuil,5,69288143
50000,quickSeuil,6,67430304
50000,quickSeuil,7,66801789
50000,quickSeuil,8,67981010
