Nom du fichier,vorace,revenuVorace,dynamique,revenuDynamique,local,revenuLocal
Restos/WC-20-100-08.txt,1065221,89,1199736,113,3163542,105
Restos/WC-20-100-09.txt,907495,107,1310771,125,1975698,113
Restos/WC-20-100-10.txt,1015824,99,1296058,126,2793919,110
Restos/WC-20-10-01.txt,900703,13,658337,14,3025583,14
Restos/WC-20-10-02.txt,908151,14,697893,14,2098168,13
Restos/WC-20-10-03.txt,957322,12,663439,14,3079280,14
Restos/WC-20-10-04.txt,973017,9,654569,13,2699926,12
Restos/WC-20-10-05.txt,981731,12,660930,15,2951222,14
Restos/WC-20-10-06.txt,935169,13,672519,15,3238462,14
Restos/WC-20-10-07.txt,957885,12,654936,14,3117104,13
Restos/WC-20-10-08.txt,909574,10,657801,13,1966460,10
Restos/WC-20-10-09.txt,970722,9,675073,14,2727665,13
Restos/WC-20-10-10.txt,956899,13,658275,13,3169533,13
Restos/WC-500-1000-01.txt,7480606,2929,86246046,4533,68858179,3471
Restos/WC-500-1000-02.txt,8518938,5325,136973238,8076,78735146,6530
Restos/WC-500-1000-03.txt,8701398,7687,177065494,10809,93839113,9046
Restos/WC-500-1000-04.txt,10271026,10186,230539766,14507,92264438,12130
Restos/WC-500-1000-05.txt,11985355,12503,269055743,16744,122713942,14652
Restos/WC-500-1000-06.txt,12052427,15787,353489609,19794,132429422,17779
Restos/WC-500-1000-07.txt,15005062,17246,395191276,22638,134734232,20608
Restos/WC-500-1000-08.txt,14940547,19351,433726793,24306,141368316,22788
Restos/WC-500-1000-09.txt,16214932,22236,492509544,28529,143918340,26757
Restos/WC-500-1000-10.txt,16482182,24268,522152025,30336,140526592,28637
Restos/WC-500-100-01.txt,5863756,269,39854681,435,69505988,333
Restos/WC-500-100-02.txt,7646075,543,46979133,793,76992597,633
Restos/WC-500-100-03.txt,7725229,717,52058878,1060,83412377,883
Restos/WC-500-100-04.txt,10024078,1044,60959753,1461,85473974,1211
Restos/WC-500-100-05.txt,10188792,1331,63874322,1716,97677919,1530
Restos/WC-500-100-06.txt,22833194,1552,66651309,2080,110691088,1865
Restos/WC-500-100-07.txt,12171108,1778,69270936,2256,134594072,2096
Restos/WC-500-100-08.txt,13059338,2221,81333473,2706,118643436,2520
Restos/WC-500-100-09.txt,13279915,2246,78939742,2831,142142770,2673
Restos/WC-500-100-10.txt,13445853,2594,87572421,3250,123847596,3016
